"SKU","Category","Brand","Model","Item Name","Recently Purchase","Cost","Available","Total Sale"
"O619V","APPLE","MacBook Air","MacBook Air","MacBook Air 13.6-inch M2 2022 M2 | 8GB | 256GB | Midnight","not set","0","0","4"
"M9C2B","APPLE","AirPod","not set","Apple AirPod 3 2021 Apple AirPod 3 2021","not set","0","0","1"
"not set","not set","not set","not set","Apple Magic Mouse 2 2021","not set","0","0","0"
"not set","not set","not set","not set","Apple 20W Power Adapter US","not set","0","0","0"
"not set","not set","not set","not set","MacBook Pro 16.2 M1 Pro 2021","not set","0","0","0"
"not set","not set","not set","not set","MacBook Pro 13.3-inch M1 CPO M1/8/256GB","not set","0","0","0"
"not set","not set","not set","not set","MacBook Pro 13.3"" 2012 99% i5/8/512GB","not set","0","0","0"
"not set","not set","not set","not set","MacBook Pro 15.4"" 2015 Retina i7/16/512GB","not set","0","0","0"
"0LZGC","MONITOR","Dell Monitor","Dell Monitor","Dell Monitor  24 P2419H 99%","not set","0","0","17"
"not set","not set","not set","not set","OptiPlex 7040 All In One","not set","0","0","0"
"not set","not set","not set","not set","ACER Aspire Extensa 14 2022","not set","0","0","0"
"not set","not set","not set","not set","MSI Modern 14 B10MW","not set","0","0","0"
"not set","not set","not set","not set","MSI GF63 Thin 10UD","not set","0","4","0"
"not set","not set","not set","not set","Dell Monitor 23 P2319H 99%","not set","0","0","0"
"not set","not set","not set","not set","Dell Optiplex 7050 Mini SFF i5/8/512GB","not set","0","0","0"
"IEFUQ","USED PC","Dell Desktop","DELL PC (Used)","Dell Optiplex 7050 Mini SFF  i5 | 8GB | 256GB ","not set","0","0","3"
"not set","not set","not set","not set","Desktop Clone i5 9400F","not set","0","0","0"
"not set","not set","not set","not set","MacBook Pro 13""/15"" 2011-2012 Battery Replacement","not set","0","0","0"
"not set","not set","not set","not set","MacBook Air 11""/13"" 2009-2017 Battery Replacement","not set","0","0","0"
"not set","not set","not set","not set","MacBook Pro 2014-2105 15"" Battery Replacement","not set","0","0","0"
"AKSFZ","ACCESSORIES","Mouse ","Mouse","Gaming Mouse AULA S12","14 Feb 2024","4.5","0","10"
"MDGQ1","ACCESSORIES","Keyboard","Keyboard","AOC Mouse Keyboard   KM160","not set","0","0","0"
"BJ37S","ACCESSORIES","Keyboard","Keyboard","USB Keyboard Dell USB Keyboard Dell","10 Nov 2023","6.5","0","1"
"not set","not set","not set","not set","Desktop Clone i5 8400","not set","0","0","0"
"not set","not set","not set","not set","iMac 24 2021 M1 Chip (8C-8C) 8GB | 256GB","not set","0","0","0"
"E1ZOR","PC PART","RAM","Gaming RAM RGB","XPG D50 3200Mhz  8GB","not set","0","0","0"
"7WRMG","PC PART","RAM","RAM DDR3 / DDR4 Laptop","DDR4 3200MHz LAPTOP 8GB Original","not set","0","0","5"
"not set","not set","not set","not set","GeForce® GTX 1660 Super 6G","not set","0","0","0"
"L5O7B","APPLE","AirPod","not set","Apple AirPods Pro  2 Apple AirPods Pro  2","not set","0","0","2"
"not set","not set","not set","not set","MacBook Pro 13.3 Non Bar 2017 99% i5/8/256GB","not set","0","0","0"
"not set","not set","not set","not set","MacBook Pro 13.3 2020 Gray M1/8/256GB 97%","not set","0","0","0"
"not set","not set","not set","not set","GeForce® GTX 1050Ti 4G ","not set","0","0","0"
"not set","not set","not set","not set","MacBook Pro 14.2 M1 2021","not set","0","0","0"
"not set","not set","not set","not set","MacBook Pro 14.2 M1 2021","not set","0","0","0"
"1OSPY","APPLE","Power & Cables","Power Cable","Apple Charger Cable USB-C to Lightning Cable 1m","not set","0","0","4"
"not set","not set","not set","not set","35W Dual USB-C Power ","not set","0","0","0"
"not set","not set","not set","not set","MacBook Pro 13.3-inch 2019","not set","0","0","0"
"not set","not set","not set","not set","MacBook Pro 13.3-inch 2015 98% i5/8/256GB","not set","0","0","0"
"not set","not set","not set","not set","FUJITSU Desktop G3900 | 4GB | 128GB","not set","0","0","0"
"not set","not set","not set","not set","FUJITSU Desktop G3900 | 16GB | 512GB","not set","0","0","0"
"not set","not set","not set","not set","FUJITSU Desktop G3900 | 8GB | 256GB","not set","0","0","0"
"not set","not set","not set","not set","i5 | 16GB | 1TB ","not set","0","0","0"
"not set","not set","not set","not set","iMac (27-inch, Mid 2011) 2K i5/16/512GB","not set","0","0","0"
"not set","not set","not set","not set","iMac (21.5-inch, Mid 2014) i5/8/512GB","not set","0","0","0"
"not set","not set","not set","not set","iMac Retina 4K, 21.5-inch 2017 i5/16/512GB","not set","0","0","0"
"not set","not set","not set","not set","Dell 24 Monitor - SE2422HR","not set","0","0","0"
"37ITE","MONITOR","Dell Monitor","Dell Monitor","Dell 22 Monitor 2022 SE2222HV 22-Inch","not set","0","0","1"
"not set","not set","not set","not set","AOC 27B2H 27 inch monitor","not set","0","0","0"
"not set","not set","not set","not set","MacBook Pro 13.3-inch 2018 i5/8/256GB","not set","0","0","0"
"not set","not set","not set","not set","Dell 17 Monitor | E1715S","not set","0","0","2"
"M7C2U","PC PART","RAM","RAM DDR3 / DDR4 Laptop","1600DDR3L Ram Laptop 4GB 1600DDR3L Ram Laptop 4GB","not set","0","0","0"
"QPT5K","PC PART","RAM","RAM DDR3 / DDR4 Desktop","1600 DDR3L Desktop 4GB 1600 DDR3L Desktop 4GB","not set","0","0","0"
"not set","not set","not set","not set","SL300 120GB - Colorful","not set","0","0","0"
"not set","not set","not set","not set","Gateway GWTN156 Pentium","not set","0","0","0"
"7ORUQ","APPLE","AirPod","not set","Apple AirPods Series | AirPods 2","not set","0","0","1"
"IS6VL","APPLE","HomePod","not set","HomePod mini Black","not set","0","0","0"
"not set","not set","not set","not set","Apple Watch Series8 45mm","not set","0","0","0"
"not set","not set","not set","not set","Surface Laptop 3 13.5"" ( CPO ) i5/8/128GB","not set","0","0","0"
"not set","not set","not set","not set","Surface Laptop 3 15"" ( CPO )","not set","0","0","0"
"not set","not set","not set","not set","LENOVO Legion 5 17-Inch","not set","0","0","0"
"not set","not set","not set","not set","HP Elitebook X360 1030 G2 99%","not set","0","0","0"
"not set","not set","not set","not set","MacBook Pro 13.3-inch M2 2022 M2/8/256GB","not set","0","0","0"
"not set","not set","not set","not set","SL300 256GB - Colorful","not set","0","0","0"
"not set","not set","not set","not set","SL300 512GB - Colorful","not set","0","0","0"
"not set","not set","not set","not set","SL300 1000GB - Colorful","not set","0","0","0"
"not set","not set","not set","not set","Lexar® NS100 2.5” SATA 1TB","not set","0","0","0"
"not set","not set","not set","not set","Samsung 980 PRO SSD 2TB Gen 4.0","not set","0","0","0"
"not set","not set","not set","not set","ASUS GT 730 1GD3H LP 2GB","not set","0","0","0"
"CO518","PC PART","SSD","SSD SATA 3","SAMSUNG 870 QVO 512GB","not set","0","0","1"
"71M05","MONITOR","Dell Monitor","Dell Monitor","Dell Monitor 2021 S2421HN 24-Inch","not set","0","0","2"
"not set","not set","not set","not set","SAMA Power Supply 450W","not set","0","0","0"
"not set","not set","not set","not set","SAMA Power Supply 550W","not set","0","0","0"
"V72IE","PC PART","Power Supply","Power Supply ","SAMA Power Supply  450W","19 Nov 2023","18","0","0"
"not set","not set","not set","not set","XPG D50 3200Mhz RGB 16GB","not set","0","0","0"
"not set","not set","not set","not set","XPG D50 3200Mhz RGB 32GB","not set","0","0","0"
"JSZK5","PC PART","RAM","RAM DDR3 / DDR4 Desktop","DDR4 3200MHz DESKTOP 4GB","not set","0","0","1"
"not set","not set","not set","not set","ADATA LAPTOP 3200Mhz 16G","not set","0","0","0"
"not set","not set","not set","not set","ADATA LAPTOP 3200Mhz 32G","not set","0","0","0"
"not set","not set","not set","not set","ADATA DDR4 3200Mhz 8GB","not set","0","0","0"
"RACUI","PC PART","RAM","RAM DDR3 / DDR4 Laptop","DDR3 / 3L LAPTOP 2GB","not set","0","8","0"
"not set","not set","not set","not set","JONSBO CR1400","not set","0","-7","0"
"not set","not set","not set","not set","JONSBO CR1000","not set","0","0","0"
"54XJK","PC PART","CPU FAN","not set","JONSBO CPU FAN CR1200E","not set","0","0","3"
"not set","not set","not set","not set","MacBook Air13.3-inch 2019 99% i5/8/128GB","not set","0","0","0"
"not set","not set","not set","not set","DHP 24"" All In One","not set","0","0","0"
"not set","not set","not set","not set","CHINA DHP All In One 24""","not set","0","0","0"
"not set","not set","not set","not set","Intel® Core™ i5-10400 12M Cache, up to 4.3 GHz","not set","0","0","0"
"not set","not set","not set","not set","Intel® Core™ i5-12400 18M Cache, up to 4.40 GHz 6C","not set","0","0","0"
"not set","not set","not set","not set","Intel® Core™ i7-11700F 16M Cache, up to 4.9 GHz 8C","not set","0","0","0"
"not set","not set","not set","not set","Intel® Core™ i9-12900KF Processor 30M Cache","not set","0","0","0"
"N1FYG","PC PART","Intel CPU","INTEL CPU","12th Generation Intel® Core i3 12100 Processors","not set","0","0","0"
"not set","not set","not set","not set","Intel® Core™ i9-13900KS Processor 36M Cache","not set","0","0","0"
"EIHC1","PC PART","Power Supply","Power Supply ","XPGPower Supply  450W","not set","0","0","0"
"not set","not set","not set","not set","HP Laptop 14 Touch","not set","0","0","0"
"OM8GW","ACCESSORIES","External HDD","External Drive","StoreJet 25H3 | Portable External 1TB","09 Dec 2023","48","0","5"
"not set","not set","not set","not set","StoreJet 25H3 | Portable 2TB","not set","0","0","0"
"not set","not set","not set","not set","StoreJet 25H3 | Portable 4TB","not set","0","0","0"
"T8K7Z","ACCESSORIES","External HDD","External Drive","StoreJet 25C3S Type-C External 1000G","03 Feb 2024","59","0","2"
"DVPZ6","ACCESSORIES","External HDD","USB Type-C","StoreJet 25C3S Type-C 2TB StoreJet 25C3S Type-C 2TB","not set","0","0","2"
"not set","not set","not set","not set","StoreJet 25C3S Type-C 2TB","not set","0","0","0"
"not set","not set","not set","not set","Acer Gateway GWTN141 ULTRA","not set","0","0","0"
"not set","not set","not set","not set","ASROCK Z690 STEEL LEGEND WIFI","not set","0","0","0"
"not set","not set","not set","not set","i5 | 8GB | 256GB ","not set","0","0","0"
"not set","not set","not set","not set","MacBook Pro 13.3"" 2012 Retina 98% i5/8/128GB","not set","0","0","0"
"not set","not set","not set","not set","MacBook Pro 13.3 2020 M1 CPO M1/8/256GB","not set","0","0","0"
"not set","not set","not set","not set","CHINA DHP All In One 24""","not set","0","0","0"
"not set","not set","not set","not set","CHINA DHP All In One 24""","not set","0","-1","0"
"not set","not set","not set","not set","CHINA DHP All In One 24""","not set","0","0","0"
"not set","not set","not set","not set","CHINA DHP All In One 24""","not set","0","0","0"
"not set","not set","not set","not set","CHINA DHP All In One 24""","not set","0","0","0"
"not set","not set","not set","not set","DELL Inspiron 3511 MX350","not set","0","0","0"
"FTQSB","PC PART","SSD","HDD Desktop / Laptop","Internal Hard Disk 3.5 1TB","not set","0","0","4"
"not set","not set","not set","not set","Hard Drives 2TB 3.5""","not set","0","0","0"
"not set","not set","not set","not set","Hard Drives 4TB 3.5""","not set","0","0","0"
"not set","not set","not set","not set","Hard Drives 6TB 3.5"" (Used) ","not set","0","0","0"
"not set","not set","not set","not set","Dell Inspiron 13 5310","not set","0","0","0"
"not set","not set","not set","not set","NZXT H510 Elite ","not set","0","0","0"
"not set","not set","not set","not set","NZXT H5 Flow Editon ","not set","0","0","0"
"not set","not set","not set","not set","DELL Vostro 15 3500","not set","0","0","0"
"not set","not set","not set","not set","MacBook Air 2014 11.5"" 99% i5/4/128GB","not set","0","0","0"
"not set","not set","not set","not set","MacBook Air 2017 13.3 99% i5/8/256GB","not set","0","-2","0"
"not set","not set","not set","not set","i7 | 32GB | 1TB | 2GB","not set","0","0","2"
"not set","not set","not set","not set","iMac Retina 21.5-inch 2017 99% i5/16/512GB","not set","0","0","0"
"not set","not set","not set","not set","HIKVISION USB 3.0 16G Flash ","not set","0","0","0"
"not set","not set","not set","not set","HIKVISION USB 3.0 32G Flash ","not set","0","0","0"
"not set","not set","not set","not set","HIKVISION USB 3.0 64G Flash ","not set","0","0","0"
"N0PSE","SOFTWARE","Windows","not set","Reinstall Windows + STD APP Reinstall Windows + STD APP","not set","0","1","0"
"MYTJ8","SOFTWARE","Windows","not set","Reinstall Windows on Mac Reinstall Windows on Mac","not set","0","0","0"
"not set","not set","not set","not set","Cable 1.5M","not set","0","0","2"
"NH9D7","ACCESSORIES","Network","Network Cable","Network Cable 3M","04 Feb 2024","1.5","0","9"
"MAP7L","ACCESSORIES","Network","Network Cable","Network   Cable 5M","04 Feb 2024","2","0","6"
"9YS0X","ACCESSORIES","Network","Network Cable","Network  Cable 10M","04 Feb 2024","3","0","5"
"DR37P","ACCESSORIES","UGREEN","Power Cable","UGreen PD 20W Adapter Power Delivery UGreen PD 20W Adapter Power Delivery","not set","0","0","0"
"Q4LSK","ACCESSORIES","UGREEN","Power Cable","UGreen  USB-C to USB-C Gen2 10GB/s","14 Nov 2023","10","0","6"
"0DH3J","ACCESSORIES","UGREEN","Power Cable","UGREEN  Micro USB 3.0 Cable USB","not set","0","0","1"
"JAKZX","ACCESSORIES","UGREEN","Video Accessories","UGREEN Display Cable Mini DP to Mini DP","not set","0","0","0"
"EOMQI","ACCESSORIES","Network","Wi-Fi Network","UGREEN Wifi Adapter USB Wi-Fi AC","02 May 2024","7.5","0","6"
"2BH7J","ACCESSORIES","Network","Wi-Fi Network","UGREEN Bluetooth Adapter USB Bluetooth 5.0","not set","0","-1","6"
"4IWNO","ACCESSORIES","UGREEN","Display & Video","UGREEN Display Adapter  DVI to HDMI","not set","0","0","1"
"IXOG1","ACCESSORIES","UGREEN","Display & Video","UGREEN Display Adapter DVI to VGA","not set","0","0","0"
"YMCRX","ACCESSORIES","UGREEN","Audio Accessories","UGREEN Audio Adapter USB-A Bluetooth 5.0 Car","not set","0","0","0"
"P7X4L","ACCESSORIES","Network","Network","UGREEN Ethernet Adapter USB-C to Network","not set","0","0","2"
"G4SC2","ACCESSORIES","UGREEN","Display & Video","UGREEN Display Adapter HDMI to VGA","not set","0","0","0"
"not set","not set","not set","not set","UGREEN Laptop Stand ","not set","0","0","0"
"4RI9C","ACCESSORIES","UGREEN","Power Cable","UGREEN  USB C to SATA 3 2.5""","not set","0","0","0"
"GLE60","ACCESSORIES","Mouse ","Mouse","Dell   Wire Mouse","10 Nov 2023","2.5","0","16"
"D0GVM","ACCESSORIES","Mouse ","Mouse","Dell Wireless Mouse WM118-BK","not set","0","0","3"
"not set","not set","not set","not set","AOC Mouse Keyboard KM100 ","not set","0","0","0"
"RT3OI","ACCESSORIES","Keyboard","Keyboard","AOC Mouse Keyboard   KM410 RGB Light","not set","0","0","0"
"5VDWA","ACCESSORIES","UGREEN","Power Cable","UGREEN  USB-B to USB-C Cable ","not set","0","0","2"
"2H6ZC","ACCESSORIES","UGREEN","Power Cable","UGREEN  USB-C to Micro-B 3.0","not set","0","0","0"
"G3WB7","ACCESSORIES","Display / Audio","Video Accessories","DTECH Display Cable Display Port Cable 1.8M","not set","0","0","3"
"not set","not set","not set","not set","ACER Aspire 3","not set","0","0","0"
"6G2FZ","ACCESSORIES","External HDD","Enclosure","DATA Cable USB-C to USB-C Cable 0.3M","not set","0","0","0"
"EONIR","ACCESSORIES","External HDD","Enclosure","DATA Cable USB-A to USB-C Cable 0.3M","not set","0","0","1"
"not set","not set","not set","not set"," USB-C to Micro 0.3M Cable Data","not set","0","0","0"
"4YC96","ACCESSORIES","USB HUB","USB-C HUB","ORICO USB-C Hub USB-C to USB A","not set","0","0","7"
"GJCVM","ACCESSORIES","UGREEN","Video Accessories","UGREEN Display Adapter USB-C to HDMI","19 Apr 2024","12","0","8"
"9WGFO","ACCESSORIES","USB HUB","USB-C HUB","ORICO Display Adapter USB C to VGA","not set","0","0","0"
"not set","not set","not set","not set","ORICO 4 Port Portable USB3.0 ","not set","0","0","0"
"IR3AV","ACCESSORIES","External HDD","Enclosure","ORICO Enclosure 2.5 inch USB3.0 Hard Drive","not set","0","0","3"
"BL658","ACCESSORIES","UGREEN","Audio Accessories","ORICO Audio Cable Audio 3.5mm Male to Female 1M","not set","0","0","1"
"QZMS8","ACCESSORIES","Display / Audio","Video Accessories","DTECH Display Cable  HDMI to HDMI 1.5M","not set","0","0","15"
"OWAH2","ACCESSORIES","External HDD","Enclosure","Orico Enclosure Orico SATA M.2 SSD housing 10G","not set","0","20","0"
"not set","not set","not set","not set","addlink External Portable SSD NVMe & SATA","not set","0","0","0"
"ABDP4","ACCESSORIES","Network","Wi-Fi Network","USB WIFI TP-LINK USB 150Mb/s","17 May 2024","5","3","13"
"not set","not set","not set","not set","TP-LINK USB 300Mb/s","not set","0","-1","1"
"8JE3W","ACCESSORIES","UGREEN","Audio Accessories","UGREEN Audio Adapter USB-A to 3.5mm Audio ","02 May 2024","6","0","0"
"not set","not set","not set","not set","LEGION 5 PRO 16ITH6","not set","0","0","0"
"not set","not set","not set","not set","MacBook (Retina, 12-inch, 2017) 95% M3/8/256GB ","not set","0","0","0"
"not set","not set","not set","not set","ROG Zephyrus G15 GA503RM","not set","0","-2","0"
"not set","not set","not set","not set","MacBook Pro 13.3"" Late 2013 99% i5/8/256GB","not set","0","-6","0"
"not set","not set","not set","not set","MacBook Pro 13.3"" Late 2013 99% i5/8/512GB","not set","0","0","0"
